Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,432.1,432.3,431.8,433.0,433.2,431.7,430.7,431.8,431.8,432.2,431.4,430.6
2015,433.0,437.3,436.9,435.4,436.0,435.6,435.0,432.9,432.1,430.8,431.4,431.6
2016,432.1,431.9,432.6,432.6,433.1,434.5,435.4,435.9,435.1,434.9,434.7,434.3
2017,434.7,434.7,433.5,433.8,434.3,437.5,436.7,435.6,434.6,433.0,433.8,433.6
2018,434.6,434.5,434.9,434.3,434.6,438.3,434.1,432.0,434.5,434.6,435.1,434.9
2019,434.5,436.1,436.7,437.2,436.2,437.7,435.1,434.3,439.5,439.3,439.2,439.5
2020,439.8,440.1,441.0,422.8,406.0,404.1,424.5,425.1,426.6,423.2,421.8,422.5
2021,422.0,423.3,422.8,424.3,425.0,426.0,434.2,427.7,425.4,424.3,424.5,424.8
2022,423.8,425.0,424.6,424.8,424.0,424.5,434.8,426.5,424.3,425.6,426.3,427.3
2023,428.0,428.8,429.8,430.0,431.1,431.5,438.7,433.4,433.5,435.1,435.8,435.8
2024,436.9,439.0,440.3,441.9,443.6,443.7(P),,,,,,
