Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,250.9,255.0,254.4,255.4,256.6,256.6,256.9,257.6,258.0,259.2,260.0,260.4
2015,261.0,260.9,261.1,261.4,262.4,262.3,263.4,262.4,262.5,262.0,262.0,262.8
2016,265.4,263.1,263.3,263.6,263.3,263.6,263.7,264.4,264.2,265.0,265.4,265.1
2017,264.9,265.7,265.3,265.7,266.5,267.2,267.3,267.4,268.2,264.8,268.0,269.3
2018,269.6,270.0,270.8,271.2,270.4,273.1,272.3,274.0,274.7,276.7,276.1,276.2
2019,278.1,277.1,276.8,277.6,277.8,277.9,278.4,278.1,277.8,274.1,277.4,277.3
2020,274.7,275.6,275.4,251.1,254.2,263.0,263.2,266.6,267.6,268.0,269.1,270.5
2021,272.5,269.1,270.0,268.9,267.7,269.3,269.9,271.5,272.5,275.7,276.1,274.2
2022,275.4,277.5,278.9,280.2,281.1,281.5,283.8,284.8,286.1,286.4,287.3,287.3
2023,287.0,287.1,287.2,287.8,287.8,288.6,288.2,281.2,287.7,284.1,285.5,286.4
2024,284.7,286.7,287.2,290.7,291.9,290.9(P),,,,,,
