Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,112.9,113.2,113.5,113.8,114.0,113.9,114.0,114.0,114.0,113.9,114.0,114.2
2015,114.5,114.7,114.7,114.4,114.7,114.8,114.8,114.9,115.0,115.5,115.6,116.0
2016,116.1,116.2,116.1,116.5,116.5,116.6,116.7,116.7,116.7,116.9,117.0,116.8
2017,116.8,116.6,116.4,115.9,116.0,116.0,115.8,115.9,115.9,116.0,115.9,116.2
2018,115.9,115.9,116.0,115.9,115.8,116.1,116.1,116.1,116.3,116.3,116.2,116.2
2019,116.2,116.2,116.5,116.9,116.7,117.0,116.9,117.0,116.9,116.9,117.1,117.2
2020,117.3,117.2,116.6,94.3,100.5,104.9,106.9,108.0,108.8,109.4,109.2,108.9
2021,108.6,108.1,108.5,109.3,109.0,109.2,110.0,110.5,110.6,111.2,111.6,112.3
2022,112.0,112.2,112.6,112.4,112.8,112.8,112.7,113.1,113.6,113.5,113.6,113.8
2023,114.4,114.5,114.7,114.6,114.2,114.7,115.2,115.2,115.4,116.2,115.9,115.3
2024,115.7,116.2,118.3,119.9,119.1,118.9(P),,,,,,
