Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,447.7,448.8,447.7,451.0,450.9,450.9,451.7,452.5,452.3,454.2,455.1,455.5
2015,459.9,459.4,458.7,461.8,462.4,462.7,464.0,464.4,463.9,465.6,466.2,465.5
2016,467.3,466.4,468.2,470.8,469.9,471.2,472.6,472.4,474.1,475.3,475.5,477.3
2017,478.2,479.6,479.5,481.0,482.0,483.1,483.0,483.7,484.2,483.6,484.0,485.6
2018,484.8,484.9,485.4,484.6,484.3,484.4,485.6,486.5,486.5,487.9,487.5,487.7
2019,489.3,490.1,491.2,491.8,492.1,491.8,492.8,494.1,496.8,496.4,497.5,498.2
2020,497.7,498.5,497.2,457.8,464.5,470.3,471.8,475.4,476.0,477.5,479.0,482.1
2021,474.1,479.2,483.0,482.4,481.9,485.2,484.9,483.0,479.6,481.2,481.9,482.7
2022,481.7,484.8,485.7,485.8,487.9,491.5,488.9,489.7,490.4,490.7,491.5,491.7
2023,499.2,502.2,502.9,503.9,505.8,508.4,509.4,509.7,510.2,513.9,515.2,516.2
2024,518.0,520.9,523.6,527.4,529.5,536.9(P),,,,,,
