Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,350.0,351.0,350.6,354.0,354.8,355.9,355.7,357.4,358.1,360.1,361.1,362.8
2015,364.4,364.4,365.4,365.5,367.9,368.0,369.4,371.0,372.2,374.6,376.7,377.1
2016,376.4,377.1,377.6,378.7,379.1,379.0,379.9,380.8,380.5,380.5,380.3,380.1
2017,379.1,380.7,382.4,382.5,381.8,383.7,382.0,382.5,384.5,383.1,384.8,383.5
2018,383.3,384.8,386.1,383.6,384.3,385.6,386.5,386.1,385.3,383.5,381.9,382.1
2019,383.9,381.7,381.3,382.3,382.4,382.4,382.9,382.9,383.3,383.5,382.8,382.6
2020,383.3,384.2,382.6,348.2,350.4,354.8,357.4,361.0,362.0,365.2,367.2,370.1
2021,370.2,369.6,371.3,370.4,370.5,371.7,373.2,373.2,371.5,375.4,377.4,378.6
2022,378.3,378.8,379.8,382.8,382.4,384.0,383.8,385.2,386.8,384.6,383.8,383.4
2023,383.9,384.1,383.3,382.5,381.9,381.9,381.4,380.1,380.0,379.0,376.0,374.2
2024,377.3,380.3,378.5,380.2,380.4,380.8(P),,,,,,
