Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,23.2,23.4,23.4,23.6,23.5,23.6,23.6,23.6,23.5,23.5,23.5,23.5
2015,23.7,23.8,23.8,23.6,23.7,23.8,23.7,23.8,23.9,23.9,23.9,24.0
2016,24.1,24.2,24.1,24.0,24.0,24.0,24.1,24.2,24.2,24.2,24.2,24.1
2017,24.3,24.3,24.5,24.6,24.7,24.6,24.7,24.7,24.8,24.8,24.9,24.9
2018,25.1,25.0,25.1,25.3,25.4,25.4,25.6,25.7,25.8,25.8,26.0,26.0
2019,26.3,26.3,26.5,26.4,26.5,26.4,26.5,26.6,26.6,26.7,26.7,26.6
2020,26.6,26.6,26.7,25.6,25.7,25.7,25.8,26.1,26.2,26.4,26.4,26.3
2021,26.4,26.5,26.7,26.7,26.8,27.1,27.2,27.2,27.3,27.4,27.5,27.5
2022,27.8,27.9,27.9,27.9,28.0,27.9,28.1,28.1,28.0,28.1,28.1,28.1
2023,28.0,28.0,27.9,28.1,28.1,28.0,28.0,28.0,27.9,28.2,28.1,27.9
2024,27.9,28.0,28.2,28.2,28.2,28.1(P),,,,,,
