Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,89.8,90.8,90.4,90.2,90.2,90.2,90.2,90.4,90.4,89.4,90.0,90.0
2015,90.3,90.5,90.6,90.8,90.5,89.9,89.7,89.7,90.3,90.8,90.6,91.3
2016,90.4,90.4,91.0,91.0,91.6,91.6,90.0,90.7,90.7,90.9,91.3,91.4
2017,91.1,90.9,90.9,91.1,90.7,91.2,91.1,91.1,91.4,91.3,90.6,90.5
2018,90.8,90.3,90.3,90.2,90.1,89.9,90.6,90.3,90.2,90.3,90.6,90.3
2019,90.0,90.5,90.3,90.6,90.8,90.0,91.4,91.2,91.1,91.0,90.7,90.9
2020,91.8,91.4,91.5,88.5,85.8,87.1,88.2,89.2,90.8,89.8,89.9,90.0
2021,89.9,89.9,90.5,90.3,90.1,90.9,89.4,89.5,90.4,90.8,90.5,90.6
2022,90.5,90.6,90.6,90.0,89.7,89.8,90.3,89.7,90.0,90.0,90.9,90.6
2023,90.9,91.2,91.2,91.9,92.5,92.1,91.7,92.3,92.3,91.8,91.8,92.2
2024,92.4,92.6,92.7,93.3,94.9,95.7(P),,,,,,
