Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,60.5,60.2,59.9,59.8,60.0,60.0,60.3,60.9,61.0,60.3,60.3,60.8
2015,61.4,61.8,62.0,62.0,62.5,62.2,62.5,62.8,63.2,63.5,63.7,63.8
2016,63.7,64.0,63.8,64.3,64.4,64.0,64.5,64.5,65.0,64.9,65.0,64.8
2017,64.5,64.4,65.0,65.1,65.1,65.3,64.8,65.2,65.2,65.0,65.4,65.4
2018,65.5,65.7,65.9,65.5,66.0,66.6,66.0,66.4,66.3,66.2,66.5,66.9
2019,67.3,66.8,66.6,66.8,67.1,67.4,67.2,67.2,67.1,67.7,67.8,68.0
2020,68.0,67.8,67.1,36.5,50.6,54.9,57.4,58.6,60.4,62.0,61.9,61.7
2021,62.4,62.9,63.9,64.9,65.6,66.0,66.7,67.1,67.6,68.8,68.5,69.2
2022,68.6,69.3,69.8,70.0,70.2,70.5,71.4,71.4,71.3,71.2,71.6,71.8
2023,72.4,72.9,72.7,72.3,71.8,72.9,72.8,73.4,73.5,74.4,74.7,74.9
2024,74.3,74.3,74.4,74.9,76.0,75.6(P),,,,,,
