Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,18.7,18.8,18.7,18.8,19.0,19.0,18.9,19.0,19.0,19.0,18.8,18.9
2015,18.9,19.0,19.0,19.1,19.1,19.1,19.2,19.2,19.3,19.3,19.3,19.3
2016,19.6,19.5,19.5,19.5,19.4,19.4,19.5,19.6,19.6,19.6,19.8,19.7
2017,19.8,19.8,20.0,19.8,19.9,19.9,19.9,19.8,20.0,20.1,20.1,20.1
2018,20.3,20.3,20.4,20.2,20.4,20.5,20.6,20.7,20.7,20.9,20.9,21.0
2019,20.9,20.9,20.9,21.0,21.1,21.0,21.1,21.2,21.1,21.2,21.0,21.1
2020,21.0,21.0,21.0,19.0,20.1,20.2,20.1,20.4,20.5,20.7,20.5,20.7
2021,20.9,20.9,21.1,21.2,21.1,21.1,21.3,21.3,21.4,21.5,21.7,22.0
2022,22.1,22.2,22.1,22.0,22.0,22.0,22.0,22.1,22.2,22.2,22.1,22.1
2023,22.0,21.8,21.9,22.0,21.7,21.8,21.8,21.7,21.6,21.6,21.6,21.6
2024,21.8,21.7,21.8,21.7,21.6,21.6(P),,,,,,
