Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,69.8,69.7,69.9,70.7,70.3,70.2,70.3,70.1,70.2,70.3,70.5,70.6
2015,70.8,70.9,71.1,71.9,71.9,72.1,72.2,72.5,72.6,73.0,73.3,73.1
2016,73.7,74.0,74.2,74.2,74.0,74.6,75.5,75.5,75.9,75.7,75.8,75.9
2017,76.5,76.3,76.7,76.6,76.9,77.2,77.5,77.5,77.6,77.5,77.6,77.6
2018,77.8,77.9,77.9,77.7,77.6,77.9,77.9,77.9,77.7,77.9,78.0,78.2
2019,78.1,78.3,78.4,78.9,78.9,78.7,78.9,78.7,79.2,79.5,80.1,79.8
2020,79.9,79.9,79.7,72.5,75.7,76.9,77.4,77.6,78.2,78.5,78.6,79.0
2021,79.1,79.5,79.7,79.7,80.1,79.9,80.0,79.8,80.0,80.2,80.4,80.3
2022,79.3,80.0,80.2,80.5,80.7,80.5,81.3,81.8,81.7,82.0,82.0,82.4
2023,82.7,82.8,82.9,83.1,83.0,83.6,83.6,84.1,84.3,84.3,84.8,84.9
2024,85.5,85.6,86.2,85.8,85.9,86.7(P),,,,,,
