Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,451.6,452.3,451.1,452.5,452.5,453.2,454.5,455.0,455.6,453.6,453.5,455.1
2015,458.9,460.3,460.9,460.8,460.9,460.5,461.2,461.8,463.5,464.8,465.6,466.2
2016,466.0,466.7,467.3,467.5,467.3,467.1,467.5,468.4,469.6,469.1,470.3,470.1
2017,470.3,470.4,472.1,472.5,472.8,473.7,472.9,473.7,474.2,473.7,473.8,474.5
2018,476.0,475.6,476.6,476.0,478.2,479.1,479.1,479.5,480.1,480.5,481.9,482.2
2019,482.2,480.8,480.1,482.4,484.2,483.1,485.7,486.3,486.4,488.1,487.6,487.3
2020,488.4,487.7,486.6,425.3,449.1,459.0,464.5,468.8,475.1,478.5,479.2,480.4
2021,482.0,482.5,486.8,488.3,489.9,491.8,492.7,493.8,495.3,499.0,500.5,502.6
2022,501.4,505.2,506.3,506.6,507.0,506.8,512.4,513.3,513.7,514.0,514.0,514.2
2023,516.9,517.3,517.4,518.6,518.6,520.2,519.8,521.4,521.8,522.9,524.0,524.4
2024,525.1,526.3,528.2,529.4,532.7,534.3(P),,,,,,
