Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,71.3,71.4,71.5,71.0,70.8,70.9,71.0,70.8,70.7,70.6,70.6,70.4
2015,70.4,70.2,70.2,70.3,70.4,70.6,70.7,70.9,70.9,71.3,71.4,71.5
2016,71.6,71.7,71.8,71.8,71.8,71.7,72.2,72.3,72.0,71.8,71.9,71.8
2017,72.1,72.2,72.3,72.4,72.4,72.6,72.8,72.9,73.0,73.2,73.0,73.1
2018,73.1,73.6,73.6,74.0,74.3,74.2,74.2,74.2,74.2,74.4,74.7,74.6
2019,74.6,74.6,74.6,74.6,75.0,75.0,75.2,75.1,75.1,75.3,75.3,75.3
2020,75.3,75.4,75.4,74.3,74.2,74.2,74.0,74.1,74.2,74.1,74.2,74.0
2021,73.3,73.2,73.1,72.9,72.8,72.7,72.9,72.8,72.3,72.4,72.5,72.2
2022,72.3,72.0,71.8,71.8,71.7,71.5,71.5,71.5,71.6,71.5,71.4,71.5
2023,71.1,71.1,70.9,70.9,70.8,70.6,70.4,70.3,70.2,69.6,69.7,69.6
2024,69.9,70.1,69.5,69.3,69.0,69.0(P),,,,,,
