Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,169.7,170.1,169.8,168.9,169.4,168.2,168.6,169.3,170.8,170.1,170.2,170.2
2015,169.7,170.4,170.4,171.3,170.4,170.8,170.4,171.6,171.0,171.7,171.6,172.1
2016,171.6,171.9,172.8,173.0,172.8,173.4,173.2,171.4,174.7,173.8,173.5,173.4
2017,173.3,173.4,173.3,173.2,172.6,173.9,173.0,173.3,173.0,173.0,172.6,172.8
2018,173.3,173.0,173.6,173.4,173.6,173.3,173.8,173.7,173.8,172.9,172.6,172.6
2019,174.8,173.4,172.8,173.4,173.3,173.7,173.5,174.4,173.4,174.4,175.7,174.3
2020,176.5,175.1,174.9,166.9,160.3,160.8,164.2,168.2,169.1,168.0,168.2,168.6
2021,168.8,169.1,169.3,169.8,170.3,170.0,170.3,169.7,169.4,169.6,169.5,169.7
2022,168.8,169.5,169.9,169.4,169.9,169.0,169.5,170.4,170.6,171.5,172.0,172.4
2023,172.1,173.2,173.4,173.9,173.7,175.3,174.3,175.0,175.2,174.9,174.9,175.4
2024,174.8,175.1,175.8,176.1,176.4,174.6(P),,,,,,
