Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,87.5,87.7,87.2,86.6,86.9,86.8,87.0,86.8,86.9,86.9,86.8,87.2
2015,87.5,87.9,88.1,87.2,88.0,88.3,88.5,88.6,89.5,89.1,89.3,89.8
2016,89.4,89.5,90.0,90.4,90.0,89.9,90.6,90.8,91.5,91.2,91.0,90.9
2017,91.3,92.0,91.7,91.9,91.3,92.1,91.9,92.2,91.7,91.8,92.1,92.8
2018,92.3,92.3,92.3,91.9,93.1,92.8,92.6,92.7,93.2,93.1,93.1,93.0
2019,93.5,93.6,93.4,93.9,94.3,93.7,93.4,94.0,93.9,94.6,94.5,94.4
2020,95.1,95.1,92.1,55.3,63.8,71.2,76.9,79.4,80.8,82.1,82.0,80.6
2021,81.9,82.5,83.5,84.7,85.3,87.6,88.6,88.5,87.6,89.2,90.1,90.9
2022,90.6,91.8,91.0,91.0,91.0,91.6,92.2,92.5,93.8,94.3,94.2,94.3
2023,95.0,95.4,95.5,95.9,96.1,96.2,96.7,97.3,98.1,99.0,98.7,99.1
2024,98.6,98.7,99.1,99.2,100.2,99.5(P),,,,,,
