Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,46.0,45.8,45.8,47.3,47.4,47.6,47.7,47.7,47.8,48.4,47.9,48.9
2015,48.7,49.3,49.7,49.9,50.0,49.9,50.1,50.2,50.5,50.7,50.8,51.0
2016,51.0,51.1,51.8,51.6,51.4,51.8,51.6,51.8,52.1,52.0,51.8,51.1
2017,51.7,52.5,52.7,52.2,51.9,51.9,51.6,51.8,52.0,52.4,52.4,53.0
2018,52.9,52.6,52.9,53.0,53.2,53.3,53.9,54.0,53.8,53.7,53.9,53.4
2019,54.8,53.8,52.5,54.1,54.5,54.6,55.0,55.1,55.7,56.0,56.1,56.3
2020,57.1,57.1,57.3,55.4,55.9,55.5,55.2,55.1,55.4,56.2,56.7,57.0
2021,56.7,55.0,56.7,56.9,56.9,57.0,57.1,57.3,57.1,57.2,57.0,59.0
2022,58.6,58.7,58.5,58.3,58.1,58.4,59.3,59.6,60.0,60.0,60.7,61.0
2023,61.6,61.7,61.5,61.9,62.0,62.1,62.1,62.0,61.8,62.3,62.3,61.9
2024,62.2,62.4,62.2,62.2,62.4,62.6(P),,,,,,
