Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,146.9,147.5,148.0,147.9,148.1,148.0,147.9,147.9,147.9,148.1,148.2,148.5
2015,148.9,148.6,148.4,148.8,148.8,149.0,150.1,150.2,150.6,150.9,151.3,151.6
2016,151.2,151.2,152.0,151.6,152.2,152.6,153.8,153.9,154.4,154.3,154.3,153.7
2017,154.4,154.6,154.6,154.3,154.6,154.6,154.1,154.1,154.6,155.0,154.9,155.1
2018,155.2,155.1,155.4,155.6,155.8,156.1,155.7,156.0,156.3,156.0,156.2,156.6
2019,156.5,156.7,157.0,156.8,157.2,157.0,157.3,156.9,156.9,155.8,156.2,156.2
2020,156.4,156.8,156.1,145.6,148.2,150.6,151.2,152.3,152.7,152.4,153.6,154.1
2021,154.8,154.9,155.5,156.1,156.0,155.4,155.9,155.6,155.4,155.7,155.7,155.8
2022,155.1,155.6,155.4,155.4,155.5,156.1,157.7,157.3,157.7,157.7,158.6,158.7
2023,159.3,159.5,160.2,160.8,161.0,162.3,161.9,162.2,162.8,163.4,164.5,165.1
2024,165.2,166.2,166.3,166.8,167.5,168.4(P),,,,,,
