Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,203.0,203.0,203.0,203.4,203.6,203.8,203.6,204.0,204.1,204.4,205.1,206.1
2015,205.3,205.7,205.6,206.0,206.4,207.2,206.6,207.0,206.7,206.9,206.6,206.6
2016,204.7,204.8,204.9,204.8,204.3,204.0,204.4,203.8,203.8,203.5,202.4,201.9
2017,202.4,202.8,202.7,202.9,202.8,202.3,201.9,202.1,202.3,202.1,202.4,202.2
2018,202.0,202.2,202.3,201.3,201.9,202.2,201.8,201.1,200.6,200.1,200.7,200.2
2019,200.5,199.2,198.9,199.2,198.4,197.6,198.0,198.1,197.6,197.3,196.4,196.2
2020,196.5,196.1,195.5,182.7,185.6,189.1,190.7,191.2,192.2,193.4,193.3,193.6
2021,193.8,192.5,193.4,193.1,193.8,193.8,194.2,195.1,194.4,195.7,196.5,197.0
2022,196.4,197.2,197.0,196.8,196.1,195.8,195.9,196.3,196.1,196.1,195.9,196.1
2023,197.3,197.1,197.5,198.0,198.3,199.1,198.9,198.6,199.6,200.0,199.4,200.2
2024,199.1,200.7,201.1,201.7,201.6,202.6(P),,,,,,
