Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,56.5,56.6,56.7,56.4,56.6,56.7,56.7,57.2,57.6,57.7,58.0,58.3
2015,58.4,58.8,58.8,59.3,59.8,59.8,60.1,60.4,60.6,61.2,61.5,62.2
2016,62.1,62.1,62.4,62.4,62.6,62.9,63.0,63.2,63.2,63.2,63.5,63.8
2017,63.9,64.4,64.4,64.8,65.3,65.6,65.9,66.0,66.1,66.2,66.3,66.5
2018,66.8,67.5,67.9,67.4,67.4,67.7,67.8,67.8,67.7,67.5,67.5,67.2
2019,67.4,67.5,68.2,68.6,68.7,68.8,69.0,69.3,69.5,69.7,69.9,70.1
2020,70.1,70.1,70.1,64.7,64.3,65.3,65.3,66.2,66.6,67.2,67.4,67.9
2021,68.7,68.9,69.5,69.6,69.9,70.4,71.4,71.8,71.4,72.9,73.5,74.3
2022,74.6,75.1,75.5,76.2,76.8,77.2,76.9,76.7,77.0,76.7,76.6,76.4
2023,76.3,76.3,76.1,76.5,76.6,76.8,77.3,77.3,77.7,77.6,77.4,77.7
2024,77.9,77.6,77.6,78.0,78.5,78.0(P),,,,,,
