Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,152.2,151.8,151.9,152.4,152.0,151.4,151.8,151.9,153.0,153.0,152.9,152.8
2015,154.0,153.4,153.7,154.1,154.6,155.4,155.0,154.6,155.0,155.2,155.5,155.8
2016,156.2,155.9,156.6,157.2,157.3,155.2,159.5,158.5,158.2,158.3,158.3,158.6
2017,158.9,159.4,159.7,159.5,159.9,160.1,162.2,163.1,162.6,160.6,160.4,160.9
2018,159.7,160.7,160.7,160.0,160.7,161.8,161.9,161.9,162.9,163.0,164.4,163.7
2019,162.8,164.2,164.3,163.7,165.3,163.6,165.7,167.3,165.9,165.9,167.4,167.1
2020,167.6,167.7,168.2,158.1,156.4,153.7,155.9,160.3,160.2,161.2,160.1,159.6
2021,161.0,160.4,161.0,162.6,162.1,159.9,160.3,160.2,160.7,161.1,160.9,160.9
2022,160.9,163.2,163.0,164.3,166.5,163.3,165.2,166.1,165.9,167.5,168.3,169.1
2023,171.0,173.8,174.3,174.4,176.1,176.1,175.8,172.9,177.6,179.4,179.9,180.4
2024,180.7,181.4,181.7,182.9,184.2,182.7(P),,,,,,
