Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,34.9,35.0,35.1,35.5,35.6,35.5,35.6,35.6,35.7,36.2,36.0,36.0
2015,35.9,36.0,36.1,36.1,36.3,36.7,36.6,36.8,36.8,36.8,37.3,37.8
2016,38.2,38.8,39.3,39.3,39.4,39.4,40.2,40.5,40.9,41.6,41.0,40.7
2017,40.7,40.6,40.6,40.7,40.8,40.8,41.1,41.2,41.0,40.7,41.3,41.5
2018,41.6,41.6,41.6,41.1,41.3,42.0,41.3,41.5,41.8,42.3,41.7,41.4
2019,41.3,41.4,41.4,41.4,41.5,41.6,41.7,41.9,41.9,42.0,42.6,43.1
2020,43.2,43.4,42.2,28.6,31.1,35.0,36.1,36.6,37.3,37.7,37.9,37.7
2021,37.7,37.9,38.2,38.5,39.2,39.6,40.2,40.4,40.3,40.9,41.5,42.1
2022,42.5,42.7,42.9,43.8,43.8,43.9,44.1,44.5,44.7,44.5,44.7,44.9
2023,44.5,44.5,44.5,44.6,44.3,44.4,44.6,44.7,44.9,45.7,46.5,46.3
2024,46.4,45.9,45.3,45.0,44.8,45.7(P),,,,,,
