Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,113.5,113.8,114.3,114.7,115.1,115.6,116.2,116.3,116.6,116.8,117.2,117.7
2015,117.9,118.2,118.8,119.3,119.8,120.5,121.3,121.9,122.3,123.2,123.4,123.9
2016,124.5,124.9,124.9,125.4,125.9,126.3,127.6,128.0,128.5,129.7,129.4,129.9
2017,129.8,130.1,130.8,132.0,132.1,132.7,131.6,133.5,134.5,134.8,135.6,136.0
2018,137.0,137.6,138.2,138.3,138.8,139.6,139.2,140.5,141.6,141.6,142.1,142.5
2019,142.5,143.0,143.3,143.9,144.4,144.7,144.3,145.7,145.7,146.6,147.0,147.1
2020,148.1,148.7,147.5,128.8,134.1,138.1,141.0,142.0,143.3,144.7,145.6,146.6
2021,147.3,147.6,148.5,149.6,149.5,149.8,150.3,150.4,149.9,151.5,152.2,152.8
2022,153.1,153.6,154.6,155.2,156.1,156.9,157.8,158.7,159.4,160.0,160.6,160.6
2023,161.7,162.3,162.8,163.6,164.0,164.6,164.9,165.9,166.3,165.9,166.7,167.2
2024,167.4,167.8,168.2,169.5,170.4,169.1(P),,,,,,
