Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,225.9,226.6,227.7,228.5,228.8,229.2,229.8,230.4,231.2,232.3,233.1,234.2
2015,235.7,235.8,236.5,236.9,237.8,237.8,237.9,238.5,239.1,239.4,239.5,239.9
2016,238.2,239.4,239.9,240.8,241.3,241.4,242.2,243.1,243.5,243.6,244.6,244.9
2017,245.3,245.9,246.5,246.9,247.1,247.8,248.3,248.8,249.9,250.5,252.0,253.0
2018,252.4,253.3,253.7,254.2,254.7,255.3,256.2,256.6,256.9,257.1,256.9,256.1
2019,258.9,259.1,259.6,260.0,261.5,262.5,262.5,262.8,263.0,263.8,265.7,265.5
2020,265.5,265.7,266.1,225.4,229.9,245.5,251.8,257.5,262.3,265.8,266.1,267.7
2021,268.6,270.2,272.3,271.7,274.0,274.8,276.2,277.2,278.5,283.1,284.5,286.8
2022,287.6,294.2,293.2,292.6,291.6,291.1,292.1,292.2,292.4,291.5,290.4,291.4
2023,293.4,294.6,295.2,296.1,297.1,298.5,296.9,297.7,299.7,299.5,299.7,299.8
2024,301.6,301.3,300.8,303.2,302.1,301.4(P),,,,,,
