Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,23.0,23.2,23.1,23.3,23.2,23.2,23.4,23.3,23.3,23.2,23.6,23.7
2015,23.7,23.6,23.4,23.3,24.2,24.2,24.4,24.6,25.0,25.1,25.0,25.3
2016,25.4,25.3,25.5,25.4,25.5,25.4,25.6,25.6,25.6,25.8,25.9,25.9
2017,26.2,26.3,26.6,26.4,26.4,26.4,26.5,26.7,26.8,26.7,26.8,26.9
2018,26.7,26.9,26.8,26.9,27.0,27.1,27.1,27.1,27.0,27.4,27.3,27.4
2019,27.6,27.7,27.8,27.3,27.6,27.9,28.0,28.1,28.3,28.2,28.2,28.4
2020,29.0,28.8,28.9,25.6,26.9,27.5,27.4,27.9,28.3,28.4,28.6,29.0
2021,28.7,28.6,28.4,28.9,29.0,29.1,29.2,29.4,29.6,29.8,29.8,29.8
2022,29.7,29.9,30.0,30.0,30.1,30.1,30.4,30.5,30.5,30.6,30.7,30.9
2023,31.2,31.3,31.3,31.4,31.2,31.3,31.4,31.5,31.5,31.4,31.3,31.5
2024,31.7,31.6,31.8,32.0,31.8,31.7(P),,,,,,
