Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,90.8,90.5,90.5,90.9,88.4,90.9,91.5,91.0,91.9,91.2,91.3,91.4
2015,91.1,90.2,91.0,91.1,90.8,90.9,90.6,89.2,90.1,90.3,90.6,90.7
2016,90.3,91.7,90.8,91.1,90.2,90.5,90.6,90.1,91.5,90.5,91.0,90.7
2017,89.7,90.8,90.8,90.7,90.9,90.6,90.4,90.9,90.2,91.0,90.5,91.0
2018,90.5,90.5,90.6,90.7,90.7,90.8,90.7,90.8,90.5,90.3,90.6,90.3
2019,90.4,90.9,91.3,90.7,91.1,91.2,89.8,90.7,90.4,90.8,90.7,90.6
2020,90.3,91.6,90.1,83.3,83.4,84.4,84.4,86.8,85.7,85.2,85.0,83.9
2021,85.1,84.4,85.2,85.4,85.8,84.4,86.1,86.0,85.5,86.2,85.7,86.6
2022,86.6,86.8,86.3,86.1,85.6,86.0,85.9,85.8,86.4,86.1,85.8,85.9
2023,86.3,86.2,86.3,86.2,86.6,86.6,86.8,86.7,86.8,87.4,86.8,87.4
2024,88.1,88.3,88.6,88.2,86.6,90.5(P),,,,,,
