Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,66.6,66.4,66.4,66.5,66.5,66.6,66.3,66.5,66.4,66.3,66.5,66.6
2015,66.7,66.7,66.9,67.1,67.2,67.3,67.5,67.5,67.6,67.7,67.7,67.6
2016,67.8,67.8,67.8,67.9,68.1,68.2,68.2,68.3,68.2,68.3,68.6,68.7
2017,68.9,68.8,69.0,68.8,68.8,68.9,69.1,68.8,69.1,69.1,69.1,69.3
2018,69.3,69.7,69.9,70.2,70.2,70.6,70.7,70.8,70.9,71.3,71.5,71.7
2019,71.9,71.8,71.8,71.7,71.7,71.6,71.5,71.3,71.3,71.1,71.1,71.1
2020,70.9,70.8,70.7,64.4,65.0,65.5,65.4,66.9,67.2,67.2,67.1,67.1
2021,67.1,67.2,67.4,67.6,67.4,67.6,68.0,68.4,68.4,68.8,69.0,69.2
2022,69.4,69.9,70.2,70.1,70.1,70.0,70.6,70.5,70.6,70.4,70.7,70.8
2023,70.7,70.8,70.6,70.8,70.9,70.7,70.8,70.6,70.7,70.3,70.6,70.9
2024,70.6,70.3,70.1,69.9,69.6,69.6(P),,,,,,
