Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,74.8,74.5,74.5,75.0,75.2,75.7,76.0,76.3,76.1,76.5,76.6,77.1
2015,77.3,78.1,78.1,77.9,78.6,78.8,78.9,79.2,79.7,79.8,80.1,80.3
2016,80.1,79.9,80.0,80.9,80.5,80.2,80.3,80.4,80.8,81.0,80.8,81.2
2017,81.3,81.5,81.8,82.3,82.2,82.5,82.4,82.3,82.4,82.3,82.4,82.5
2018,82.9,82.6,83.5,82.6,82.8,83.2,83.0,82.9,83.0,83.1,82.7,82.4
2019,82.8,83.5,83.2,83.2,83.4,84.0,83.9,83.9,84.3,84.1,84.5,84.5
2020,84.8,85.0,85.0,77.2,78.6,79.5,80.1,81.5,82.3,83.0,83.3,84.2
2021,85.3,86.4,85.7,86.5,87.4,87.7,88.8,88.9,88.7,91.2,91.6,92.1
2022,93.2,93.7,94.5,94.9,95.2,95.3,96.7,97.3,97.5,97.5,97.5,97.6
2023,98.0,98.3,98.3,98.3,98.4,98.6,97.8,98.0,98.2,99.1,99.0,98.6
2024,98.7,98.6,98.4,98.9,99.9,101.2(P),,,,,,
