Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,641.2,641.3,641.1,642.3,640.2,643.9,644.8,638.8,646.5,646.7,647.0,648.1
2015,648.7,647.7,650.2,650.3,654.2,654.0,654.6,653.9,655.9,657.5,659.4,659.9
2016,660.7,663.4,662.9,665.3,664.1,663.7,666.3,666.4,670.1,668.5,669.3,669.3
2017,669.5,669.6,670.8,672.7,672.6,673.4,674.3,674.4,673.7,674.5,674.6,675.7
2018,675.4,677.5,677.0,676.4,677.4,678.6,678.0,677.8,677.6,679.4,680.3,680.6
2019,681.9,683.3,684.1,682.7,684.1,684.2,683.3,684.5,684.4,685.4,686.0,687.8
2020,687.9,690.0,683.1,572.2,589.9,610.4,620.9,634.7,644.0,647.9,649.9,643.8
2021,650.8,650.9,654.5,657.3,660.4,660.6,666.5,668.0,666.4,673.4,674.3,673.8
2022,675.8,680.3,682.3,684.1,683.1,682.3,687.9,689.5,690.6,690.1,691.9,693.3
2023,695.6,696.7,696.9,696.6,698.0,700.4,697.7,698.5,700.4,703.3,702.0,704.7
2024,704.2,705.8,706.3,706.2,706.8,711.3(P),,,,,,
