Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,136.4,136.5,136.5,136.2,136.3,136.5,136.6,130.3,137.5,137.6,137.7,137.6
2015,137.4,137.1,137.1,137.1,137.6,137.7,137.6,137.7,137.5,138.0,138.1,138.2
2016,138.6,139.2,139.3,139.5,139.8,139.4,139.9,139.8,140.2,140.1,139.9,140.2
2017,140.2,139.9,139.6,139.9,139.5,139.9,140.2,140.1,140.1,139.8,139.6,139.5
2018,139.4,139.6,139.3,139.1,139.6,139.6,139.0,139.0,139.2,139.4,140.1,139.6
2019,139.8,139.2,139.2,139.5,139.2,139.1,139.1,139.7,139.3,139.5,139.3,139.6
2020,139.8,139.3,139.4,118.5,123.4,128.8,131.4,132.9,134.3,135.6,136.2,136.8
2021,137.2,137.1,136.9,136.9,137.3,137.6,138.1,137.9,136.9,138.0,137.8,137.3
2022,137.2,138.0,139.0,139.4,138.9,138.2,139.2,139.5,139.6,139.6,139.7,140.2
2023,140.3,140.5,140.5,140.0,140.5,140.9,139.8,140.2,140.7,140.1,139.3,139.6
2024,138.9,139.6,139.8,140.1,140.5,140.1(P),,,,,,
