Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,249.2,248.2,247.6,247.8,247.8,247.5,247.5,247.1,247.0,246.5,247.4,247.3
2015,247.3,247.5,247.7,247.5,247.9,247.7,247.6,247.7,247.8,247.7,247.8,247.8
2016,247.6,247.3,246.4,247.5,247.8,248.1,249.6,250.1,250.4,250.8,250.4,250.6
2017,251.9,252.8,253.4,252.9,253.6,254.2,254.1,254.0,254.4,254.7,255.2,255.1
2018,254.6,254.8,255.2,255.6,255.8,255.7,255.7,255.5,255.8,255.6,255.8,255.6
2019,255.4,255.3,255.5,255.5,255.7,255.9,255.8,255.8,255.2,254.6,254.7,255.2
2020,254.9,255.2,254.7,242.7,242.8,242.4,243.1,244.6,245.9,248.3,248.7,249.4
2021,252.2,252.3,252.7,253.4,253.9,254.3,255.0,255.5,255.4,257.2,257.6,260.2
2022,259.2,260.3,261.2,262.0,263.1,263.7,264.7,265.4,266.4,265.2,265.7,266.3
2023,267.2,267.9,268.5,268.7,269.1,270.0,268.7,269.4,270.0,270.1,270.4,270.3
2024,268.9,268.9,268.8,268.6,269.1,267.9(P),,,,,,
