Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,240.7,240.6,240.3,242.7,242.3,241.7,241.4,241.1,240.9,240.3,240.0,239.6
2015,240.1,239.5,239.5,240.0,240.5,240.8,241.2,241.6,241.9,242.2,242.5,242.9
2016,243.5,244.0,244.3,244.3,243.8,244.0,244.5,244.8,245.1,245.3,245.7,245.8
2017,245.8,246.0,245.3,246.2,247.3,247.4,247.7,247.7,247.9,248.0,248.2,248.2
2018,248.7,248.8,248.6,249.0,249.3,249.9,250.2,250.8,250.7,251.3,251.5,251.5
2019,251.5,251.6,252.2,252.0,251.8,251.6,252.0,250.9,251.1,251.1,251.2,251.2
2020,251.3,251.8,250.6,220.6,227.0,232.2,234.4,236.8,238.2,238.6,238.8,239.2
2021,239.3,239.6,240.4,240.0,240.3,240.1,240.6,241.2,242.2,243.3,244.6,245.1
2022,244.8,248.1,248.8,250.3,250.4,250.8,252.3,252.5,252.6,252.2,252.9,253.3
2023,253.9,254.2,254.3,254.3,255.1,255.6,254.9,255.9,256.6,255.6,255.1,255.0
2024,254.8,254.8,254.5,253.2,253.3,253.0(P),,,,,,
