Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,640.1,640.2,635.2,640.3,641.9,641.7,642.2,641.8,643.2,646.0,648.6,649.1
2015,649.4,650.3,650.9,648.5,651.2,650.9,654.6,656.1,656.2,661.9,663.3,661.4
2016,661.1,662.1,663.2,665.1,666.0,668.1,672.0,673.4,674.1,670.0,672.4,675.8
2017,673.9,673.5,673.4,669.8,674.3,676.0,674.2,675.5,677.7,676.7,676.7,677.5
2018,674.9,676.1,676.4,677.3,679.3,679.4,678.1,679.3,680.0,684.4,687.5,683.3
2019,685.0,685.3,684.6,688.3,686.8,688.3,686.3,688.1,689.9,688.6,687.5,685.5
2020,687.8,687.0,687.5,604.8,613.1,620.9,631.8,640.3,647.6,653.9,658.0,663.6
2021,670.3,673.8,675.3,680.0,682.5,686.4,693.8,691.0,691.8,715.1,717.3,718.6
2022,718.7,720.6,723.3,723.0,723.3,719.1,732.3,726.8,724.6,723.1,723.6,723.0
2023,723.0,721.9,721.5,718.2,718.4,719.2,716.1,713.5,719.9,721.9,723.1,722.9
2024,724.7,721.6,724.1,721.8,721.4,721.9(P),,,,,,
