Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,826.3,824.6,827.3,830.0,832.0,832.1,833.5,834.8,835.0,834.7,838.0,840.5
2015,839.6,838.9,841.7,843.6,846.7,849.9,849.9,851.9,851.9,852.3,852.8,850.0
2016,850.6,853.8,856.2,856.8,857.9,856.6,861.2,861.5,864.2,867.3,868.5,868.8
2017,869.6,869.4,869.5,871.8,872.2,875.3,876.5,877.7,880.7,878.0,878.5,880.2
2018,879.2,880.3,879.5,879.3,880.1,878.0,878.1,876.2,876.6,877.7,882.5,881.2
2019,881.3,880.6,882.2,880.0,879.4,879.2,880.4,882.1,883.6,883.6,889.0,886.2
2020,885.0,887.6,887.3,733.5,748.9,777.7,818.4,827.5,837.4,844.0,845.2,844.8
2021,851.3,853.1,855.2,857.2,858.3,860.2,864.0,865.8,867.3,882.4,888.3,893.9
2022,896.2,912.7,913.7,915.0,912.4,910.3,913.7,914.3,912.5,911.4,910.6,907.6
2023,909.3,909.2,909.3,906.9,911.4,913.1,907.3,908.8,914.2,913.6,914.1,918.0
2024,918.5,914.9,916.6,919.2,920.6,920.9(P),,,,,,
