Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,42.9,42.1,41.8,41.6,42.3,42.5,42.9,43.0,43.1,43.9,43.5,43.9
2015,43.4,43.3,43.1,43.3,43.5,43.6,43.5,43.4,43.7,43.5,43.9,43.9
2016,44.1,44.4,43.8,43.5,43.0,42.9,43.0,42.9,43.3,43.0,43.0,43.6
2017,43.9,44.3,44.7,45.2,45.7,46.2,45.7,46.0,46.5,45.8,46.1,46.5
2018,47.0,47.5,47.5,47.3,47.2,47.1,47.0,47.0,47.2,47.4,47.5,47.8
2019,47.8,48.0,48.3,48.8,49.7,50.1,51.2,51.3,51.4,51.4,51.1,51.4
2020,52.0,52.0,51.9,48.4,47.8,47.3,47.2,47.0,46.9,47.6,47.3,47.5
2021,46.9,47.2,47.7,47.1,47.1,47.5,48.4,47.9,48.1,48.4,48.4,48.4
2022,48.1,48.7,48.9,50.0,50.1,49.8,49.9,50.0,50.2,49.8,50.3,50.9
2023,51.4,51.5,52.0,51.9,52.2,53.3,52.8,53.2,53.3,53.8,53.7,53.8
2024,53.5,53.2,53.3,52.4,52.5,52.5(P),,,,,,
