Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,190.7,190.3,189.6,190.0,191.5,188.8,190.9,190.4,190.5,190.4,190.4,190.7
2015,190.4,190.3,190.3,187.6,187.4,188.3,188.0,188.0,187.9,187.8,188.5,187.8
2016,188.5,189.2,189.0,188.8,189.0,188.5,186.9,187.5,187.9,187.0,187.4,187.1
2017,185.8,186.5,186.4,186.9,186.0,186.1,185.3,186.1,186.6,185.6,185.7,186.9
2018,186.0,185.9,185.9,186.1,184.7,187.5,186.1,186.3,186.4,185.7,185.9,185.2
2019,186.3,186.7,186.2,185.6,185.0,187.1,187.9,187.5,187.6,187.6,187.3,187.0
2020,187.3,187.7,188.0,183.2,178.1,179.9,177.5,177.0,176.5,177.1,175.2,174.1
2021,173.6,173.3,174.3,177.0,176.8,176.6,179.5,178.6,178.9,179.2,178.8,178.5
2022,178.9,178.4,178.5,178.1,179.2,178.5,179.0,180.4,179.4,179.7,180.2,181.5
2023,183.2,182.9,182.8,183.2,184.1,188.2,186.7,185.8,185.4,186.7,187.1,188.1
2024,189.3,189.9,190.0,190.3,190.5,194.1(P),,,,,,
