Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,28.5,28.4,28.3,28.3,28.2,27.8,28.1,28.0,27.8,27.6,27.8,27.8
2015,28.2,28.0,28.0,27.8,27.8,27.9,27.8,27.7,27.5,28.0,27.7,27.7
2016,27.4,27.4,27.2,27.3,27.2,27.0,26.7,26.5,26.6,26.5,26.3,26.4
2017,26.5,26.4,26.3,26.2,26.2,26.3,26.4,26.5,26.3,26.6,26.7,26.8
2018,26.9,26.9,27.0,27.1,27.2,27.2,27.2,27.3,27.5,27.4,27.7,27.8
2019,27.9,28.0,28.2,28.4,28.6,28.7,28.7,28.8,28.8,28.8,28.8,28.9
2020,29.1,28.8,28.7,25.9,25.7,26.4,26.7,26.7,27.0,27.2,27.1,26.9
2021,27.2,27.3,27.6,27.5,27.2,27.4,27.8,27.7,27.8,28.2,28.4,28.4
2022,28.4,28.6,28.8,28.8,28.9,28.8,28.9,29.0,29.0,28.6,28.8,28.9
2023,29.1,28.9,28.9,28.8,28.7,28.6,28.1,28.4,28.4,28.5,29.0,29.5
2024,29.3,29.4,29.1,29.5,29.5,29.7(P),,,,,,
