Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,28.3,28.3,28.4,28.4,28.5,28.6,28.5,28.6,28.6,28.9,28.8,28.7
2015,28.5,28.6,28.5,28.4,28.4,28.4,28.6,28.5,28.4,28.3,28.3,28.3
2016,28.3,28.4,28.4,28.5,28.5,28.4,28.7,28.5,28.5,28.4,28.5,28.5
2017,28.3,28.4,28.5,28.7,28.8,28.9,28.8,28.7,28.5,28.3,28.4,28.7
2018,28.8,28.8,28.9,28.9,29.0,29.4,29.2,29.1,29.0,29.0,29.0,29.0
2019,29.2,29.3,29.2,28.9,29.0,29.4,29.5,29.5,28.9,29.0,29.3,29.4
2020,29.3,29.2,28.9,23.6,24.1,24.5,24.8,25.1,25.7,25.5,25.5,25.5
2021,25.6,25.7,25.7,25.9,26.0,25.8,26.2,26.3,26.5,26.8,27.0,27.5
2022,27.1,27.1,27.1,27.2,27.2,26.7,27.1,27.2,27.3,27.4,27.4,27.6
2023,27.7,27.9,27.9,27.9,27.9,27.8,27.7,27.9,27.9,28.2,28.0,28.3
2024,28.5,28.3,28.4,28.4,29.0,29.6(P),,,,,,
