Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,124.4,124.6,124.7,124.9,125.6,125.5,125.9,126.9,127.7,128.4,128.5,128.8
2015,129.2,129.5,130.1,130.7,131.5,132.3,132.3,132.6,133.1,134.2,134.6,133.9
2016,135.3,136.0,136.0,136.6,136.8,136.7,137.4,137.9,137.3,137.0,136.2,137.9
2017,137.4,137.7,138.0,137.5,137.5,137.7,137.9,137.5,137.2,136.7,136.8,136.9
2018,137.3,137.0,137.3,138.2,138.2,138.3,138.2,138.4,138.5,138.6,138.7,139.4
2019,138.7,139.2,139.4,138.8,138.8,138.6,138.8,139.6,139.9,140.4,141.2,141.4
2020,142.0,141.7,141.4,129.8,130.4,131.4,133.9,135.2,136.3,137.1,137.1,136.7
2021,138.1,138.3,139.0,139.2,138.8,138.7,139.0,139.0,137.8,138.9,139.6,139.1
2022,139.2,139.6,140.0,141.2,138.7,140.3,143.9,145.3,143.5,143.1,143.3,143.8
2023,143.8,144.4,143.9,144.3,142.6,145.7,145.6,147.5,144.6,144.9,145.1,145.6
2024,146.1,146.4,146.3,146.6,147.2,147.6(P),,,,,,
