Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,813.9,812.7,812.1,814.1,818.0,815.0,818.7,820.1,820.2,823.5,824.1,825.2
2015,824.8,824.9,825.0,822.0,823.5,824.1,824.7,824.8,824.3,825.2,826.1,823.6
2016,825.5,827.7,825.2,826.0,825.6,823.7,825.7,825.2,827.2,823.4,823.2,826.2
2017,825.2,825.5,827.4,828.6,827.3,831.1,829.0,829.1,831.3,828.6,830.3,832.9
2018,834.2,835.6,836.9,838.9,838.7,843.8,841.7,843.2,844.0,842.9,845.0,845.7
2019,847.9,850.3,851.1,850.1,851.9,853.9,857.0,858.3,858.1,859.3,860.3,861.7
2020,863.6,862.0,858.4,758.9,757.9,777.0,779.9,779.5,787.7,794.4,792.9,782.9
2021,785.7,791.3,799.4,804.0,808.6,811.8,823.1,824.3,824.2,833.2,835.3,836.2
2022,834.5,839.4,841.1,846.7,845.5,843.6,853.7,858.6,858.1,857.8,860.2,863.7
2023,867.0,868.7,869.5,870.8,870.6,879.7,873.0,875.6,872.7,875.6,877.9,881.1
2024,882.3,883.0,884.3,883.9,886.6,892.0(P),,,,,,
