Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,137.5,137.8,137.7,138.2,138.2,138.1,138.5,138.4,138.7,138.8,138.7,139.1
2015,139.3,139.8,139.8,139.8,140.0,139.7,139.7,139.5,139.5,139.5,139.4,139.2
2016,139.3,138.8,138.8,139.0,138.7,138.1,139.0,138.8,138.7,138.4,138.3,138.0
2017,137.6,137.1,136.9,136.8,136.3,136.8,136.4,136.4,136.1,136.3,136.6,136.8
2018,137.1,137.5,137.7,137.6,137.7,137.8,137.5,137.7,137.4,136.8,136.9,136.5
2019,137.2,136.5,136.6,136.6,136.6,136.5,136.7,136.9,137.0,136.9,137.5,137.3
2020,137.4,137.0,136.6,122.9,123.9,130.4,131.3,132.1,132.6,132.6,132.8,132.4
2021,133.5,133.6,134.3,134.5,135.2,135.7,136.4,136.6,137.6,139.4,140.0,141.2
2022,141.5,144.1,143.3,144.0,144.0,143.2,144.0,144.8,145.0,145.4,146.2,146.3
2023,144.9,145.0,145.3,145.4,145.2,145.8,145.4,145.7,146.3,145.5,146.0,147.0
2024,146.6,145.7,145.7,145.5,145.3,145.4(P),,,,,,
