Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,686.3,687.7,689.2,689.9,691.9,694.7,695.1,695.3,696.2,697.4,698.1,699.1
2015,700.0,700.8,701.7,703.3,705.3,706.6,708.3,707.9,708.2,711.0,711.1,709.8
2016,713.3,713.3,713.2,714.0,715.4,714.0,714.8,715.3,713.4,712.8,713.7,714.4
2017,714.6,714.5,715.6,714.8,715.8,718.0,718.0,718.5,718.9,718.8,719.7,719.7
2018,719.8,720.7,720.6,720.5,721.5,724.3,725.2,724.4,724.1,726.1,726.6,724.9
2019,728.5,729.6,730.1,731.8,732.2,732.8,732.8,733.1,732.0,732.0,731.9,732.5
2020,733.4,735.2,733.4,701.1,701.6,697.1,697.1,700.7,706.8,703.6,703.5,703.0
2021,702.8,703.2,705.5,702.5,703.0,701.4,703.5,704.2,707.4,711.8,712.6,715.5
2022,716.2,717.9,719.8,722.8,725.9,729.3,736.7,737.7,738.1,738.3,739.6,739.0
2023,742.1,742.3,744.0,744.5,745.8,748.0,749.9,749.9,749.8,748.4,749.2,749.8
2024,750.0,747.8,747.2,747.9,748.6,750.9(P),,,,,,
