Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1457.8,1464.2,1463.4,1465.6,1462.7,1464.1,1464.9,1466.4,1463.7,1465.9,1465.9,1463.9
2015,1463.9,1464.9,1464.2,1462.4,1468.0,1468.5,1468.9,1468.5,1470.9,1470.6,1471.9,1472.7
2016,1474.8,1475.0,1476.6,1477.0,1474.6,1475.4,1477.5,1477.1,1479.7,1479.3,1476.0,1482.3
2017,1484.5,1484.6,1484.6,1484.4,1482.7,1482.6,1483.5,1483.3,1482.8,1485.0,1481.1,1483.5
2018,1479.5,1484.8,1485.0,1480.5,1484.4,1493.0,1486.1,1487.0,1489.0,1488.1,1490.3,1489.7
2019,1483.0,1486.1,1487.7,1492.8,1493.0,1500.8,1491.8,1489.3,1496.8,1497.4,1501.4,1498.1
2020,1499.9,1502.1,1502.2,1442.5,1428.0,1422.9,1332.0,1389.4,1468.6,1446.0,1436.8,1431.7
2021,1431.0,1426.5,1426.7,1432.4,1431.4,1425.9,1420.4,1417.5,1442.1,1441.2,1432.2,1439.7
2022,1442.4,1443.0,1442.0,1435.8,1432.5,1426.7,1436.6,1444.1,1435.1,1435.6,1435.7,1438.0
2023,1440.4,1442.6,1445.6,1450.2,1454.4,1457.4,1464.6,1466.5,1462.5,1461.0,1456.8,1463.3
2024,1473.7,1472.2,1477.1,1479.5,1482.1,1488.4(P),,,,,,
