Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,455.5,455.2,454.3,454.7,454.5,454.8,454.4,454.6,454.5,454.5,454.8,455.1
2015,455.2,455.4,455.8,455.9,456.4,456.4,456.7,457.1,456.7,457.2,456.5,456.6
2016,456.4,456.5,455.7,454.1,453.1,452.3,452.7,451.8,451.9,451.5,449.8,449.7
2017,449.0,448.6,448.4,447.7,447.3,447.0,446.1,446.0,446.3,445.7,445.5,445.3
2018,444.2,444.3,443.9,444.1,444.3,444.3,444.9,444.9,444.4,444.8,444.7,444.3
2019,444.2,443.7,442.4,443.1,442.9,442.0,440.6,440.0,439.5,434.9,437.3,436.4
2020,436.5,435.5,432.5,352.2,369.9,390.4,393.5,398.4,401.5,403.2,403.8,404.4
2021,404.6,404.2,405.9,405.6,405.9,406.4,408.1,408.7,411.0,415.2,417.1,418.2
2022,418.4,420.9,422.1,423.8,424.1,423.8,424.3,424.7,424.2,423.4,424.1,422.7
2023,425.0,424.0,423.4,422.0,422.4,423.1,422.9,422.2,422.7,422.7,422.4,421.6
2024,422.4,421.1,418.5,419.1,420.0,419.0(P),,,,,,
