Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,5.2,5.2,5.2,5.1,5.1,5.3,5.3,5.3,5.2,5.3,5.3,5.3
2015,5.4,5.3,5.3,5.2,5.3,5.4,5.4,5.3,5.3,5.2,5.3,5.5
2016,5.1,5.1,5.2,5.1,5.1,5.2,5.1,5.1,5.0,4.9,5.0,4.9
2017,4.9,5.0,5.0,4.9,4.9,4.9,5.0,5.0,5.0,5.1,5.1,5.2
2018,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.5,5.4,5.4,5.3
2019,5.4,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.3,5.3,5.2,5.3
2020,5.3,5.4,5.4,4.5,4.9,5.1,5.0,5.2,5.1,5.2,5.3,5.3
2021,5.1,5.1,5.3,5.2,5.3,5.2,5.3,5.3,5.3,5.4,5.4,5.4
2022,5.4,5.4,5.5,5.3,5.4,5.4,5.5,5.4,5.5,5.4,5.4,5.5
2023,5.5,5.5,5.4,5.5,5.5,5.5,5.5,5.5,5.4,5.2,5.3,5.4
2024,5.5,5.5,5.4,5.4,5.4,5.4(P),,,,,,
