Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,389.4,390.6,391.2,392.4,393.5,393.3,394.2,394.7,395.3,396.0,397.2,397.9
2015,398.8,398.7,399.1,397.8,399.8,401.4,401.3,402.6,402.7,403.8,404.6,405.6
2016,405.5,406.9,407.4,408.5,408.9,407.7,409.2,409.2,409.9,409.9,410.0,409.7
2017,411.4,410.0,410.0,410.8,411.7,412.2,412.1,411.4,412.1,413.1,412.9,413.9
2018,413.2,413.8,415.1,414.4,414.4,414.3,413.9,414.1,413.4,416.2,415.5,415.6
2019,415.6,416.7,416.0,416.6,415.7,415.9,416.2,416.6,417.6,415.8,416.4,415.8
2020,416.6,416.6,404.9,267.3,277.3,310.3,335.1,346.2,352.9,354.8,354.2,350.4
2021,353.5,354.1,356.4,358.0,359.6,361.7,364.4,366.2,368.3,373.9,375.2,377.2
2022,377.3,379.4,380.9,377.1,378.0,379.6,381.1,381.5,382.5,383.3,384.0,384.1
2023,386.3,386.4,386.2,385.4,387.2,387.2,386.9,386.9,387.2,390.1,389.7,389.4
2024,391.8,388.0,388.9,389.8,389.0,388.8(P),,,,,,
