Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1815.1,1822.6,1829.1,1834.4,1842.9,1849.8,1856.8,1862.5,1861.5,1857.0,1861.2,1864.2
2015,1869.0,1870.8,1874.9,1877.8,1884.6,1889.9,1899.6,1899.6,1894.9,1909.4,1914.9,1920.4
2016,1922.2,1927.7,1933.6,1940.8,1945.1,1950.5,1960.0,1962.1,1965.8,1964.9,1970.2,1977.5
2017,1984.2,1989.1,1990.8,1988.8,1997.3,2007.3,2006.6,2011.0,2017.3,2022.5,2028.9,2034.5
2018,2038.5,2048.0,2052.0,2059.4,2064.3,2070.7,2076.6,2082.7,2082.5,2096.2,2099.9,2107.8
2019,2117.4,2120.9,2131.2,2124.6,2129.0,2132.5,2135.0,2138.7,2148.2,2147.7,2154.8,2154.4
2020,2165.9,2170.8,2152.9,1863.9,1883.7,1934.0,1956.0,1992.8,2011.8,2026.9,2034.0,2037.7
2021,2026.6,2034.4,2044.5,2048.3,2051.6,2055.4,2059.1,2064.0,2060.0,2084.3,2094.9,2101.3
2022,2084.5,2111.1,2115.6,2107.0,2119.1,2126.3,2135.2,2143.5,2147.6,2156.1,2162.0,2168.2
2023,2182.2,2191.7,2197.0,2201.1,2213.6,2220.4,2230.1,2237.0,2248.0,2241.6,2258.1,2268.9
2024,2285.6,2295.6,2304.1,2310.4,2324.4,2336.3(P),,,,,,
