Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1206.9,1211.5,1211.7,1219.9,1223.0,1222.5,1226.3,1229.8,1231.2,1233.2,1237.4,1241.3
2015,1244.3,1246.4,1245.8,1249.7,1256.6,1260.5,1261.5,1264.1,1262.8,1268.8,1269.2,1270.0
2016,1272.4,1272.9,1277.1,1278.6,1277.9,1279.0,1284.3,1286.5,1289.7,1291.1,1291.4,1293.0
2017,1294.3,1297.1,1296.2,1298.2,1300.4,1303.7,1303.7,1304.3,1308.1,1306.5,1308.9,1312.5
2018,1313.1,1316.4,1318.3,1319.7,1323.4,1330.3,1329.4,1332.9,1332.5,1336.1,1338.5,1339.1
2019,1342.5,1345.2,1347.8,1355.0,1353.7,1356.6,1355.0,1356.0,1356.9,1356.6,1357.2,1356.7
2020,1353.9,1355.6,1346.9,1176.6,1188.2,1194.8,1202.6,1215.3,1224.4,1231.6,1237.0,1241.9
2021,1249.8,1256.0,1266.7,1268.0,1273.9,1275.5,1279.4,1280.7,1287.8,1311.9,1319.5,1330.3
2022,1338.7,1343.6,1350.0,1357.6,1361.1,1369.7,1380.0,1385.7,1385.3,1383.6,1385.5,1382.0
2023,1389.6,1389.7,1392.5,1390.6,1393.0,1397.6,1393.9,1395.1,1396.7,1388.5,1392.8,1397.3
2024,1391.1,1390.4,1393.7,1401.3,1400.5,1403.9(P),,,,,,
