Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,9018.2,9045.2,9060.2,9086.9,9111.6,9127.7,9140.3,9158.0,9162.7,9173.0,9189.1,9204.0
2015,9214.2,9217.4,9226.5,9232.9,9279.9,9292.2,9309.8,9316.4,9318.1,9345.5,9358.0,9367.4
2016,9374.2,9382.9,9407.5,9423.4,9403.8,9416.3,9451.3,9455.3,9468.2,9466.5,9471.5,9491.4
2017,9513.6,9522.0,9520.0,9520.6,9542.5,9560.5,9564.2,9578.6,9590.6,9598.8,9608.9,9622.4
2018,9611.6,9643.5,9652.1,9650.4,9667.7,9696.6,9691.1,9699.7,9700.3,9730.0,9736.3,9744.3
2019,9758.2,9764.0,9779.4,9791.2,9791.4,9799.2,9785.2,9785.9,9804.6,9793.9,9810.4,9809.0
2020,9826.3,9835.9,9723.6,7853.1,8017.6,8257.7,8361.6,8576.4,8778.8,8840.2,8853.8,8822.2
2021,8821.3,8850.4,8914.5,8949.6,8980.1,9007.7,9051.0,9086.6,9151.1,9268.7,9311.1,9362.6
2022,9348.0,9412.9,9442.5,9438.8,9475.5,9503.2,9560.1,9588.4,9590.4,9592.5,9606.7,9614.5
2023,9661.1,9669.6,9680.7,9678.6,9707.8,9728.1,9728.9,9737.3,9749.6,9737.5,9736.0,9762.5
2024,9802.5,9801.2,9822.2,9839.9,9854.2,9867.4(P),,,,,,
