Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,444.3,444.7,446.2,447.1,447.7,448.6,448.9,449.7,452.1,453.9,454.8,456.0
2015,458.0,458.6,459.7,460.2,461.5,461.6,461.4,463.2,463.6,465.0,465.0,465.7
2016,465.8,466.0,465.3,466.2,465.3,464.8,465.6,465.6,465.4,464.8,465.7,465.8
2017,465.8,466.8,467.1,467.7,468.1,469.2,468.7,469.3,469.4,470.3,470.0,470.2
2018,470.6,471.5,472.8,473.5,474.5,475.4,476.2,477.2,476.9,478.5,478.0,477.6
2019,478.4,478.0,478.0,477.9,477.8,477.9,478.4,478.3,478.1,478.1,476.9,476.4
2020,475.3,474.9,473.2,426.2,433.4,446.3,446.2,449.1,451.9,453.3,455.3,457.3
2021,459.1,460.9,462.3,460.7,461.0,461.5,462.0,462.8,462.9,467.4,468.8,469.9
2022,466.7,471.1,472.8,473.9,474.4,473.8,474.6,474.8,475.3,475.8,474.7,473.6
2023,473.7,472.9,472.7,471.9,471.4,471.7,468.1,467.3,466.4,466.1,466.0,467.3
2024,468.9,467.8,467.1,466.0,464.8,465.6(P),,,,,,
