Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,5.4,5.5,5.5,5.5,5.5,5.6,5.6,5.5,5.6,5.5,5.5,5.5
2015,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.5,5.5
2016,5.6,5.5,5.6,5.6,5.6,5.6,5.6,5.7,5.7,5.6,5.6,5.6
2017,5.6,5.6,5.7,5.5,5.6,5.5,5.7,5.8,5.8,5.8,5.9,5.9
2018,5.8,5.8,5.9,5.8,5.8,5.9,5.9,5.8,5.7,5.7,5.7,5.7
2019,5.8,5.7,5.7,5.6,5.7,5.7,5.8,5.8,5.7,5.8,5.7,5.7
2020,5.7,5.8,5.8,5.7,5.7,5.6,5.6,5.7,5.6,5.7,5.7,5.6
2021,5.5,5.6,5.7,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.6
2022,5.6,5.5,5.5,5.6,5.6,5.5,5.5,5.6,5.6,5.5,5.5,5.6
2023,5.6,5.6,5.6,5.6,5.7,5.8,5.7,5.7,5.7,5.7,5.7,5.7
2024,5.8,5.7,5.7,5.7,5.8,5.8(P),,,,,,
