Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,560.6,558.6,564.1,565.7,566.7,566.9,569.5,570.8,570.4,570.9,572.1,572.8
2015,569.4,570.5,569.5,569.3,571.0,571.9,571.6,570.7,574.0,576.2,577.9,579.4
2016,577.6,578.0,580.4,583.2,583.8,583.8,585.8,587.8,590.4,588.7,590.2,592.5
2017,592.2,593.6,594.2,595.0,596.1,597.0,598.7,600.7,601.6,602.5,602.0,603.5
2018,604.3,606.3,608.4,609.7,611.0,612.0,612.5,613.2,612.9,615.5,617.0,617.2
2019,620.7,621.3,623.0,623.1,623.8,624.3,625.5,625.9,627.6,627.4,628.2,627.6
2020,630.4,629.0,625.6,560.8,574.5,588.7,590.2,601.7,605.5,610.2,612.4,617.5
2021,625.8,626.5,628.0,627.4,627.2,626.8,627.1,627.5,625.0,626.1,627.5,627.0
2022,621.9,624.9,627.2,629.6,631.7,634.1,638.7,641.4,645.0,648.5,650.7,653.3
2023,655.7,657.2,660.0,662.4,665.4,668.2,666.8,671.1,673.4,674.5,677.1,678.4
2024,680.7,681.5,682.2,684.4,685.8,691.3(P),,,,,,
