Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,32.5,33.2,33.6,34.3,34.8,35.5,35.6,35.7,36.0,36.5,37.0,37.2
2015,37.5,36.9,36.4,35.3,35.2,34.4,33.8,33.6,33.3,33.2,32.9,33.0
2016,30.9,30.8,30.9,31.9,31.8,32.4,33.1,33.1,32.7,31.8,31.1,29.3
2017,28.8,28.9,28.7,29.0,28.2,27.2,26.6,26.2,26.3,26.1,26.4,26.4
2018,26.8,26.9,26.8,25.5,26.3,26.8,26.4,26.6,26.7,27.0,27.2,27.6
2019,28.2,28.2,28.3,28.4,28.6,28.9,29.2,29.2,28.9,29.3,29.0,28.6
2020,28.3,27.8,27.5,26.0,26.2,25.8,25.4,25.4,25.5,25.2,24.8,25.2
2021,24.9,24.2,24.8,26.0,25.5,25.4,26.3,25.6,25.5,25.7,25.8,25.8
2022,25.9,26.0,26.2,26.0,25.9,26.0,26.1,26.2,26.5,26.5,27.0,26.7
2023,28.0,28.3,27.8,27.5,27.6,27.8,27.9,27.9,27.8,27.8,27.4,27.5
2024,26.9,26.8,27.1,27.7,28.0,27.6(P),,,,,,
