Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,25.8,25.8,25.9,26.0,25.9,25.9,26.1,26.1,26.1,26.0,26.1,26.1
2015,25.9,25.8,25.8,25.7,25.7,25.4,25.4,25.4,25.4,25.3,25.3,25.1
2016,25.0,24.8,24.8,24.7,24.5,24.4,24.6,24.5,24.5,24.3,24.3,24.2
2017,24.3,24.3,24.3,24.5,24.8,24.7,24.8,24.9,24.9,25.1,25.1,25.3
2018,25.6,25.6,25.7,25.8,25.9,25.9,26.1,26.2,26.2,26.5,26.6,26.8
2019,26.6,26.5,26.6,26.6,26.7,26.7,26.5,26.7,26.7,26.8,26.8,26.9
2020,26.7,26.7,26.7,23.8,25.1,25.0,25.1,25.4,25.6,25.6,25.6,25.7
2021,25.9,25.9,25.9,25.9,25.9,26.0,26.4,26.3,26.4,26.5,26.7,26.8
2022,26.7,26.9,26.9,27.2,27.4,27.5,27.6,27.5,27.6,27.7,27.7,27.8
2023,27.9,28.1,28.2,28.1,28.2,28.4,28.5,28.6,28.7,28.8,28.7,28.6
2024,29.1,28.9,28.6,28.9,28.9,28.8(P),,,,,,
