Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,27.8,28.0,28.5,29.2,29.7,30.1,30.5,30.6,31.1,31.6,31.4,31.0
2015,30.3,28.7,27.3,25.4,24.0,23.1,22.2,21.6,20.5,19.5,18.7,18.2
2016,17.4,16.8,15.8,15.3,14.8,14.6,14.5,14.6,14.8,14.9,15.2,15.4
2017,15.6,16.2,16.8,17.6,18.1,18.4,19.0,18.6,18.6,18.8,18.8,19.0
2018,19.3,19.5,19.9,20.5,21.0,21.2,21.1,21.1,21.4,21.5,21.6,21.7
2019,22.0,21.9,21.8,21.6,21.6,21.7,21.4,21.3,21.1,20.8,20.6,20.6
2020,20.8,20.9,20.8,17.1,14.0,12.5,12.6,12.5,12.7,13.1,13.1,13.2
2021,13.1,13.0,13.3,13.6,13.6,13.7,14.0,14.0,14.1,14.4,14.5,14.7
2022,14.8,14.9,15.2,15.6,16.0,16.2,16.5,16.8,17.1,17.1,17.3,17.5
2023,17.6,17.9,18.1,18.1,18.1,18.3,18.2,18.3,18.2,18.5,18.7,18.5
2024,18.8,18.9,18.9,18.9,19.1,19.0(P),,,,,,
