Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,61.8,61.7,61.4,61.4,61.5,61.5,61.5,61.8,62.0,62.0,62.3,62.2
2015,62.4,62.6,62.5,62.6,62.8,62.7,62.8,63.2,63.2,63.1,63.7,63.6
2016,63.6,63.9,64.1,64.4,64.5,64.5,65.3,65.2,65.3,65.5,65.5,65.6
2017,65.5,65.5,65.7,66.0,66.2,66.2,66.2,66.3,66.3,66.3,66.3,66.3
2018,66.5,66.4,66.7,66.4,66.5,66.5,66.6,66.6,66.6,66.7,66.7,66.8
2019,67.0,67.0,67.0,67.5,67.6,67.3,67.1,67.4,67.2,67.4,67.3,67.3
2020,68.2,68.0,67.8,63.7,64.5,65.1,65.5,66.1,66.4,66.7,66.3,66.9
2021,66.9,66.7,66.6,66.7,66.8,66.6,66.7,66.7,66.5,66.3,66.5,66.5
2022,66.0,66.1,66.3,66.5,66.6,66.9,67.9,67.8,67.8,67.8,67.5,67.5
2023,67.7,67.6,67.9,66.5,66.7,67.4,67.4,67.9,67.7,68.2,68.6,68.7
2024,69.5,69.2,69.1,69.7,70.3,70.2(P),,,,,,
