Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,33.8,34.0,34.5,34.6,34.8,35.3,35.6,35.3,35.8,36.0,36.1,35.9
2015,35.5,35.5,35.2,35.1,35.3,35.4,35.1,35.0,35.0,34.7,34.1,34.4
2016,33.3,33.3,32.9,33.2,33.1,33.0,33.3,33.1,33.0,32.8,32.7,32.9
2017,32.9,32.7,33.0,33.1,33.0,33.0,32.8,32.8,32.6,32.6,32.5,32.6
2018,32.6,32.6,32.7,32.4,32.6,32.8,32.8,32.7,32.8,32.7,32.8,32.8
2019,32.2,32.7,32.6,32.6,32.9,33.1,32.9,33.0,33.0,33.3,33.0,33.3
2020,33.1,33.2,32.6,30.4,31.0,31.1,30.8,30.9,30.9,31.8,31.0,31.1
2021,31.9,31.9,32.1,32.4,32.6,32.6,33.4,33.3,33.6,33.7,33.9,34.3
2022,34.2,34.3,34.6,34.4,34.4,34.2,34.6,34.9,35.1,34.5,35.1,34.6
2023,34.3,34.7,34.7,34.6,34.9,35.3,35.1,35.0,35.2,34.8,34.9,34.4
2024,33.9,33.9,33.8,34.0,35.2,34.4(P),,,,,,
