Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,103.5,104.1,104.4,104.8,105.2,105.4,105.9,106.1,106.2,106.7,107.0,107.2
2015,106.6,106.5,106.1,105.1,104.7,104.2,103.5,102.6,102.3,101.4,100.8,100.2
2016,99.4,98.4,97.4,97.1,96.5,95.8,96.0,95.9,95.6,95.4,95.2,94.9
2017,94.7,94.8,94.7,94.9,94.9,94.8,94.6,94.5,94.5,94.5,94.3,94.3
2018,94.4,94.4,94.5,94.0,94.7,94.7,94.6,94.2,94.1,94.2,94.3,94.1
2019,93.9,93.8,94.0,94.4,94.2,94.0,93.8,93.8,93.6,93.6,93.5,93.3
2020,93.3,93.0,93.1,85.1,86.1,87.2,87.8,88.5,88.4,88.9,88.9,89.1
2021,89.2,89.1,89.2,88.8,88.8,88.7,89.2,89.4,89.1,89.4,89.7,90.2
2022,90.0,90.2,90.5,90.5,90.6,90.5,91.0,90.6,90.9,90.9,90.7,91.3
2023,91.3,91.5,91.4,91.8,92.1,92.5,92.2,92.4,92.6,93.0,93.2,93.4
2024,93.2,93.4,93.7,93.7,93.5,93.1(P),,,,,,
