Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,190.4,190.4,192.2,193.1,195.0,196.2,197.6,198.2,198.4,199.0,199.5,199.5
2015,197.4,197.5,196.1,198.1,199.9,199.1,200.2,201.3,201.9,203.6,204.8,206.9
2016,207.2,207.8,208.5,207.7,205.6,205.7,204.7,203.8,204.6,205.2,207.6,206.8
2017,209.1,212.6,213.4,217.0,219.8,220.6,219.8,220.3,220.0,218.4,218.4,218.3
2018,214.1,217.6,218.2,216.8,219.7,221.1,223.2,223.8,224.1,224.4,223.8,224.2
2019,224.9,223.6,224.6,224.9,225.5,225.9,226.9,227.7,228.4,230.3,229.7,229.8
2020,230.3,231.1,228.3,193.8,209.4,214.2,216.1,218.6,220.4,220.8,221.2,221.5
2021,221.4,218.1,221.5,222.9,222.0,221.5,224.6,225.2,225.0,227.2,229.5,229.8
2022,229.8,230.7,232.3,233.4,234.1,233.6,233.8,234.0,234.5,234.6,235.3,235.7
2023,237.4,239.2,237.4,236.1,235.7,236.7,237.2,237.9,238.8,244.8,240.7,237.0
2024,231.9,235.7,237.0,231.8,239.1,242.7(P),,,,,,
