Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,762.7,763.7,764.0,765.9,767.2,770.9,761.8,767.7,776.1,771.4,771.1,771.8
2015,768.7,770.9,769.9,772.1,774.0,775.9,776.7,776.3,772.8,774.0,772.9,774.0
2016,770.6,773.5,771.6,780.4,778.0,775.8,777.6,777.7,782.4,782.1,784.3,780.1
2017,790.4,786.8,786.0,782.6,781.1,779.7,779.8,781.0,781.6,781.9,783.5,784.0
2018,784.1,786.3,786.5,783.9,781.9,784.7,780.8,783.7,786.1,789.2,789.5,791.3
2019,784.4,787.7,791.3,791.5,790.7,790.9,792.6,795.8,793.4,792.6,792.4,793.3
2020,793.8,794.4,790.3,752.5,740.5,744.1,745.0,752.1,757.9,751.3,749.0,749.5
2021,752.2,750.9,753.4,752.6,754.9,760.3,758.3,757.0,759.1,759.8,761.2,761.7
2022,763.2,762.0,761.5,764.5,762.2,764.9,766.6,767.6,765.9,766.5,767.9,768.3
2023,771.9,775.6,775.6,775.7,779.6,783.3,784.5,785.2,785.8,781.5,781.5,783.1
2024,781.6,779.5,781.5,779.4,778.3,788.3(P),,,,,,
