Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,522.4,522.5,523.6,524.8,526.6,527.1,527.1,528.1,527.8,528.9,530.1,531.1
2015,532.0,532.9,533.3,535.0,538.7,538.4,539.5,541.2,545.4,543.4,546.3,547.2
2016,549.6,548.8,549.8,550.3,550.6,549.8,552.6,552.7,553.8,554.4,557.8,555.7
2017,556.3,558.9,559.2,560.2,558.3,559.6,560.5,562.6,564.0,564.8,563.1,564.4
2018,563.3,563.8,565.2,564.4,565.5,567.5,567.3,568.6,569.4,570.2,568.9,569.2
2019,570.9,570.0,569.9,570.5,570.0,569.9,568.9,568.9,569.4,570.9,573.9,575.0
2020,576.7,578.7,557.3,298.4,344.5,430.5,451.3,459.4,472.0,478.6,478.5,468.7
2021,476.6,482.6,485.5,489.1,492.3,503.8,518.5,521.8,523.4,526.4,527.8,529.7
2022,530.7,531.8,534.5,537.3,539.5,541.5,544.7,544.8,547.8,549.7,550.7,553.0
2023,558.8,559.0,561.2,561.8,563.3,565.3,566.2,569.4,567.9,565.2,563.6,567.6
2024,566.9,569.4,569.5,568.5,570.5,569.3(P),,,,,,
