Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,667.9,669.4,670.4,671.9,673.7,674.5,674.9,676.9,678.7,680.9,684.3,683.9
2015,685.2,685.5,685.9,686.8,689.0,688.2,688.2,689.7,688.0,687.5,688.6,687.8
2016,687.0,686.6,686.8,685.8,685.9,684.1,688.3,686.9,688.2,686.5,685.7,686.4
2017,687.1,683.5,685.6,685.0,684.4,686.3,685.6,688.8,686.9,691.4,691.6,692.5
2018,692.7,695.8,696.7,697.7,698.1,699.5,700.5,698.9,699.6,702.3,701.8,702.6
2019,703.4,703.4,702.8,703.0,703.2,702.9,704.2,701.1,699.6,695.2,696.0,693.8
2020,694.3,692.4,691.4,583.1,604.2,647.5,648.0,649.8,653.6,656.0,658.1,660.2
2021,660.4,661.6,664.3,659.7,661.7,662.1,665.0,667.2,667.7,670.1,672.4,674.3
2022,673.6,677.1,680.0,683.7,684.8,682.6,684.8,685.8,687.1,687.4,686.8,687.1
2023,688.1,688.0,688.3,688.6,689.3,690.0,689.6,689.3,689.4,687.9,688.2,688.1
2024,688.4,688.7,685.4,689.4,688.3,687.0(P),,,,,,
