Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,209.2,208.9,208.6,208.6,209.6,209.9,209.6,210.3,210.3,211.1,211.2,211.8
2015,211.6,211.9,212.0,212.7,212.7,212.5,213.3,212.9,212.7,213.0,213.0,213.1
2016,213.5,213.4,213.6,213.8,213.8,213.0,213.9,214.2,215.0,215.3,215.9,214.4
2017,215.8,216.1,216.2,215.6,215.6,215.7,215.2,215.1,214.4,213.7,213.7,213.9
2018,213.6,213.6,213.6,213.6,213.5,213.8,213.5,213.3,213.4,213.4,213.1,213.3
2019,213.2,213.1,213.3,213.1,212.9,212.8,212.9,212.9,213.0,213.7,214.2,214.0
2020,214.3,214.2,206.0,143.8,163.4,180.3,188.1,189.7,194.0,195.4,196.1,195.9
2021,197.2,198.1,198.7,198.9,198.7,198.7,200.7,200.7,199.4,201.3,201.9,202.2
2022,202.6,202.7,202.3,203.7,204.2,204.4,204.7,204.9,205.6,205.6,206.3,207.1
2023,207.6,207.6,208.0,207.6,207.6,208.0,208.5,208.2,208.1,211.5,213.0,212.3
2024,212.0,211.6,212.4,213.5,215.1,215.2(P),,,,,,
