Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,880.7,881.2,883.1,884.0,884.8,885.1,885.5,887.8,887.3,890.7,892.3,893.5
2015,893.6,894.3,894.6,897.8,900.3,900.9,903.7,903.9,904.6,905.5,907.4,909.4
2016,910.1,911.0,912.5,914.1,914.9,913.1,916.7,917.2,920.4,918.8,919.1,918.4
2017,920.7,922.2,923.7,924.3,924.9,926.6,924.8,925.9,927.0,927.3,927.3,927.7
2018,928.4,929.2,929.0,930.3,930.3,931.6,930.6,932.8,932.5,931.7,931.3,930.4
2019,937.5,937.5,938.6,938.6,939.8,940.2,937.4,940.2,939.6,939.3,942.1,943.1
2020,947.2,946.7,941.8,830.1,851.0,878.1,882.1,889.3,895.5,902.2,903.8,904.9
2021,904.8,903.7,905.5,897.6,896.0,895.5,897.3,895.6,888.7,896.4,897.0,894.2
2022,893.7,894.6,895.9,899.4,901.4,901.4,906.7,909.3,911.8,912.3,914.6,917.7
2023,922.0,925.3,927.1,927.3,932.0,937.4,937.1,939.8,942.4,947.8,953.6,955.2
2024,957.9,961.1,962.2,965.2,970.9,962.5(P),,,,,,
