Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,980.2,982.5,982.9,987.6,988.7,991.1,991.9,994.2,996.0,999.0,1000.5,1003.5
2015,1001.7,1003.7,1004.9,1006.7,1008.3,1009.2,1009.5,1010.5,1011.3,1011.7,1012.0,1013.0
2016,1013.6,1015.6,1016.5,1015.9,1015.7,1014.7,1016.8,1017.8,1018.8,1018.3,1019.4,1022.7
2017,1018.7,1018.5,1018.4,1019.0,1018.6,1019.4,1019.4,1019.9,1019.5,1020.5,1021.7,1019.3
2018,1021.2,1021.4,1022.0,1021.5,1024.1,1024.3,1024.2,1023.4,1023.7,1021.6,1020.9,1019.2
2019,1025.0,1022.1,1021.4,1021.5,1022.2,1024.1,1025.8,1027.4,1028.1,1030.3,1033.8,1036.0
2020,1031.5,1030.2,1027.5,906.6,957.4,992.5,999.1,1005.3,1010.4,1014.6,1016.7,1020.4
2021,1026.3,1024.4,1025.1,1024.7,1025.2,1027.3,1031.5,1035.5,1031.6,1041.3,1045.1,1049.1
2022,1049.4,1059.6,1061.2,1063.6,1058.1,1056.2,1058.3,1058.9,1061.5,1059.2,1057.5,1056.8
2023,1059.2,1058.9,1057.4,1057.5,1058.4,1060.0,1058.4,1059.0,1063.8,1055.5,1053.4,1053.8
2024,1051.0,1051.4,1055.9,1055.6,1055.7,1054.0(P),,,,,,
