Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,75.6,75.8,75.7,75.4,75.0,74.3,74.9,75.8,75.4,75.6,75.9,76.3
2015,77.0,78.4,77.5,77.1,76.6,77.3,78.1,77.5,77.7,77.9,78.0,77.3
2016,77.9,78.0,77.0,77.8,77.4,77.3,77.9,77.6,77.9,77.6,77.0,77.1
2017,78.0,77.2,76.8,76.6,76.8,77.6,77.7,77.9,78.2,78.0,78.0,78.4
2018,78.3,78.8,79.2,79.7,79.9,80.2,80.0,81.1,81.7,81.9,82.2,82.0
2019,82.3,83.4,82.7,82.7,82.3,82.9,83.7,83.0,82.9,82.9,82.4,82.0
2020,82.5,81.4,80.9,77.2,79.8,79.1,78.2,77.5,77.0,77.0,77.5,77.7
2021,77.7,74.7,78.3,78.9,78.9,79.1,78.7,79.1,78.2,79.4,79.3,79.6
2022,79.5,79.3,79.3,78.9,79.2,79.1,79.9,80.1,80.0,80.1,80.4,80.3
2023,81.8,81.4,81.4,81.8,82.1,82.1,82.4,82.5,83.0,83.6,85.9,86.4
2024,86.9,87.8,87.3,87.7,87.3,87.6(P),,,,,,
